ticker,owner,Relationship,cost,value,dt,dt_sec,markPrice,close,T,% markPrice_cost,% close_cost
GIC,LEEDS ROBERT,Vice Chairman,32.37,92050158,2021-12-16 00:00:00,2021-12-16 20:05:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS ROBERT,Vice Chairman,32.37,92050158,2021-12-16 00:00:00,2021-12-16 20:05:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS ROBERT,Vice Chairman,32.37,92050158,2021-12-16 00:00:00,2021-12-16 20:05:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS RICHARD,Executive Chairman,32.37,66945569,2021-12-16 00:00:00,2021-12-16 19:58:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS RICHARD,Executive Chairman,32.37,66945569,2021-12-16 00:00:00,2021-12-16 19:58:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS RICHARD,Executive Chairman,32.37,66945569,2021-12-16 00:00:00,2021-12-16 19:58:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS BRUCE,Vice Chairman,32.37,25104588,2021-12-16 00:00:00,2021-12-16 20:00:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS BRUCE,Vice Chairman,32.37,25104588,2021-12-16 00:00:00,2021-12-16 20:00:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
GIC,LEEDS BRUCE,Vice Chairman,32.37,25104588,2021-12-16 00:00:00,2021-12-16 20:00:00,39.88999939,40.76,GIC,23.231385202347862,25.919060858819897
LAZY,"Coliseum Capital Management, L",Director,20.37,1703156,2021-12-16 00:00:00,2021-12-16 18:59:00,20.79000092,20.61,LAZY,2.0618601865488446,1.1782032400589024
SAFE,ISTAR INC.,10% Owner,72.38,499929,2021-12-16 00:00:00,2021-12-16 16:08:00,72.05000305,73.42,SAFE,-0.45592283780049003,1.4368610113291052
SAFE,ISTAR INC.,10% Owner,72.38,499929,2021-12-16 00:00:00,2021-12-16 16:08:00,72.05000305,73.42,SAFE,-0.45592283780049003,1.4368610113291052
PRGO,Alford Bradley A,Director,36.88,479409,2021-12-16 00:00:00,2021-12-16 15:39:00,37.20999908,36.36,PRGO,0.8947914316702829,-1.4099783080260389
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",65.83,16457196,2021-12-15 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,2.2482113929819247,5.802825459516949
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",65.83,16457196,2021-12-15 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,2.2482113929819247,5.802825459516949
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",65.83,16457196,2021-12-15 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,2.2482113929819247,5.802825459516949
TPIC,Weiss Daniel G,Director,14.57,1456806,2021-12-15 00:00:00,2021-12-16 16:08:00,16.75,15.17,TPIC,14.962251201098145,4.118050789293065
ALTG,"B. Riley Financial, Inc.",10% Owner,13.43,1225429,2021-12-15 00:00:00,2021-12-15 21:31:00,14.06000042,13.68,ALTG,4.690993447505585,1.8615040953090096
ALTG,"B. Riley Financial, Inc.",10% Owner,13.43,1225429,2021-12-15 00:00:00,2021-12-15 21:31:00,14.06000042,13.68,ALTG,4.690993447505585,1.8615040953090096
ALTG,"B. Riley Financial, Inc.",10% Owner,13.43,1225429,2021-12-15 00:00:00,2021-12-15 21:31:00,14.06000042,13.68,ALTG,4.690993447505585,1.8615040953090096
EVER,BLUNDIN DAVID B,Director,14.6,976740,2021-12-15 00:00:00,2021-12-15 19:20:00,15.76000023,15.35,EVER,7.945207054794519,5.136986301369864
EVER,BLUNDIN DAVID B,Director,14.6,976740,2021-12-15 00:00:00,2021-12-15 19:20:00,15.76000023,15.35,EVER,7.945207054794519,5.136986301369864
SIX,Ruchim Arik W,Director,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:33:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,Ruchim Arik W,Director,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:33:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,Ruchim Arik W,Director,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:33:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,Ruchim Arik W,Director,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:33:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,Ruchim Arik W,Director,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:33:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,JAFFER REHAN,10% Owner,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:31:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,JAFFER REHAN,10% Owner,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:31:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,JAFFER REHAN,10% Owner,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:31:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,JAFFER REHAN,10% Owner,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:31:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SIX,JAFFER REHAN,10% Owner,37.83,945632,2021-12-15 00:00:00,2021-12-15 16:31:00,38.84999847,38.57,SIX,2.6962687549563955,1.956119481892683
SAFE,ISTAR INC.,10% Owner,71.53,499852,2021-12-15 00:00:00,2021-12-15 16:19:00,72.05000305,73.42,SAFE,0.7269719698028795,2.6422480078288837
SAFE,ISTAR INC.,10% Owner,71.53,499852,2021-12-15 00:00:00,2021-12-15 16:19:00,72.05000305,73.42,SAFE,0.7269719698028795,2.6422480078288837
BCOR,ERNST MARK A,Director,16.22,324043,2021-12-15 00:00:00,2021-12-15 18:58:00,16.89999962,16.68,BCOR,4.192352774352653,2.836004932182496
BCOR,ERNST MARK A,Director,16.22,324043,2021-12-15 00:00:00,2021-12-15 18:58:00,16.89999962,16.68,BCOR,4.192352774352653,2.836004932182496
BCOR,ERNST MARK A,Director,16.22,324043,2021-12-15 00:00:00,2021-12-15 18:58:00,16.89999962,16.68,BCOR,4.192352774352653,2.836004932182496
BCOR,ERNST MARK A,Director,16.22,324043,2021-12-15 00:00:00,2021-12-15 18:58:00,16.89999962,16.68,BCOR,4.192352774352653,2.836004932182496
RWAY,OCM Growth Holdings LLC,Director,13.48,301885,2021-12-15 00:00:00,2021-12-15 16:35:00,13.0,13.27,RWAY,-3.5608308605341277,-1.5578635014836857
RWAY,OCM Growth Holdings LLC,Director,13.48,301885,2021-12-15 00:00:00,2021-12-15 16:35:00,13.0,13.27,RWAY,-3.5608308605341277,-1.5578635014836857
RWAY,OCM Growth Holdings LLC,Director,13.48,301885,2021-12-15 00:00:00,2021-12-15 16:35:00,13.0,13.27,RWAY,-3.5608308605341277,-1.5578635014836857
HQY,Dilsaver Evelyn S,Director,39.79,199666,2021-12-15 00:00:00,2021-12-16 19:13:00,39.15000153,40.55,HQY,-1.6084404875596932,1.9100276451369642
HQY,Dilsaver Evelyn S,Director,39.79,199666,2021-12-15 00:00:00,2021-12-16 19:13:00,39.15000153,40.55,HQY,-1.6084404875596932,1.9100276451369642
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",64.25,32122976,2021-12-14 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,4.7626421167315165,8.404669260700398
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",64.25,32122976,2021-12-14 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,4.7626421167315165,8.404669260700398
ASAN,Moskovitz Dustin A.,"President, CEO, & Chair",64.25,32122976,2021-12-14 00:00:00,2021-12-15 20:29:00,67.30999756,69.65,ASAN,4.7626421167315165,8.404669260700398
APAM,COXE TENCH,Director,45.39,9985272,2021-12-14 00:00:00,2021-12-15 17:10:00,46.72999954,45.73,APAM,2.9521910993610945,0.7490636704119769
SIX,BASSOUL SELIM A,President and CEO,37.48,1199437,2021-12-14 00:00:00,2021-12-16 17:11:00,38.84999847,38.57,SIX,3.6552787353255227,2.9082177161152707
SIX,BASSOUL SELIM A,President and CEO,37.48,1199437,2021-12-14 00:00:00,2021-12-16 17:11:00,38.84999847,38.57,SIX,3.6552787353255227,2.9082177161152707
SIX,BASSOUL SELIM A,President and CEO,37.48,1199437,2021-12-14 00:00:00,2021-12-16 17:11:00,38.84999847,38.57,SIX,3.6552787353255227,2.9082177161152707
SIX,BASSOUL SELIM A,President and CEO,37.48,1199437,2021-12-14 00:00:00,2021-12-16 17:11:00,38.84999847,38.57,SIX,3.6552787353255227,2.9082177161152707
SIX,BASSOUL SELIM A,President and CEO,37.48,1199437,2021-12-14 00:00:00,2021-12-16 17:11:00,38.84999847,38.57,SIX,3.6552787353255227,2.9082177161152707
AAT,RADY ERNEST S,Chairman & CEO,35.1,877500,2021-12-14 00:00:00,2021-12-15 16:53:00,35.38000107,35.5,AAT,0.7977238461538385,1.1396011396011354
EVBG,GRAYSON BRUNS H,Director,67.08,670800,2021-12-14 00:00:00,2021-12-16 16:31:00,65.19999695,67.19,EVBG,-2.8026282796660693,0.1639833035181864
EVBG,GRAYSON BRUNS H,Director,67.08,670800,2021-12-14 00:00:00,2021-12-16 16:31:00,65.19999695,67.19,EVBG,-2.8026282796660693,0.1639833035181864
EVBG,Rowlands Sharon T,Director,66.37,663721,2021-12-14 00:00:00,2021-12-16 16:24:00,65.19999695,67.19,EVBG,-1.762849254181114,1.2354979659484602
EVBG,Rowlands Sharon T,Director,66.37,663721,2021-12-14 00:00:00,2021-12-16 16:24:00,65.19999695,67.19,EVBG,-1.762849254181114,1.2354979659484602
