ticker,owner,Relationship,cost,value,dt,dt_sec,markPrice,close,T,% markPrice_cost,% close_cost
PRPL,"Coliseum Capital Management, L",Director,11.76,32478156,2021-12-20 00:00:00,2021-12-20 21:07:00,12.80000019,12.25,PRPL,8.84353903061225,4.166666666666669
STWD,STERNLICHT BARRY S,"CEO, Chairman of Board",22.66,4928550,2021-12-20 00:00:00,2021-12-20 20:16:00,24.37000084,22.73,STWD,7.54634086496028,0.3089143865842907
GPOR,Silver Point Capital L.P.,Director,68.44,1711000,2021-12-20 00:00:00,2021-12-20 19:51:00,72.72499847,68.48,GPOR,6.260956268264181,0.05844535359439838
SAFE,ISTAR INC.,10% Owner,70.72,499920,2021-12-20 00:00:00,2021-12-20 16:03:00,74.08999634,71.3,SAFE,4.765266317873303,0.8201357466063325
RWAY,OCM Growth Holdings LLC,Director,13.34,280250,2021-12-20 00:00:00,2021-12-20 20:04:00,13.20499992,12.8,RWAY,-1.0119946026986455,-4.047976011993996
FMNB,Muransky Edward,Director,17.72,265800,2021-12-20 00:00:00,2021-12-21 07:51:00,18.13999939,17.86,FMNB,2.370199717832963,0.7900677200902968
WSBC,Callen Stephen J,Director,32.72,163613,2021-12-20 00:00:00,2021-12-21 14:01:00,33.61999893,32.83,WSBC,2.7506079767726237,0.3361858190709029
