ticker,owner,Relationship,cost,value,dt,dt_sec,markPrice,close,T,% markPrice_cost,% close_cost
SAFE,ISTAR INC.,10% Owner,70.72,499920,2021-12-20 00:00:00,2021-12-20 16:03:00,71.30000305,71.91,SAFE,0.820140059389143,1.6826923076923044
SAFE,ISTAR INC.,10% Owner,70.72,499920,2021-12-20 00:00:00,2021-12-20 16:03:00,71.30000305,71.91,SAFE,0.820140059389143,1.6826923076923044
INCY,BAKER BROS. ADVISORS LP,Director,72.8,78322148,2021-12-17 00:00:00,2021-12-17 18:30:00,73.34999847,72.89,INCY,0.7554924038461616,0.12362637362637832
H,Reynal Alejandro,See Remarks,83.68,2008320,2021-12-17 00:00:00,2021-12-20 17:13:00,83.77999878,83.6,H,0.11950141013383464,-0.09560229445508187
AAT,RADY ERNEST S,Chairman & CEO,35.62,712400,2021-12-17 00:00:00,2021-12-17 16:48:00,34.84999847,35.65,AAT,-2.161711201572136,0.08422234699607282
SAFE,ISTAR INC.,10% Owner,73.66,499857,2021-12-17 00:00:00,2021-12-20 16:03:00,71.30000305,71.91,SAFE,-3.2039057154493564,-2.3757806136301927
SAFE,ISTAR INC.,10% Owner,73.66,499857,2021-12-17 00:00:00,2021-12-20 16:03:00,71.30000305,71.91,SAFE,-3.2039057154493564,-2.3757806136301927
EVRG,WILDER C JOHN,Director,67.55,424905,2021-12-17 00:00:00,2021-12-17 17:30:00,66.91000366,66.89,EVRG,-0.9474409178386325,-0.9770540340488477
FNKO,DENSON CHARLES D,Director,17.35,347000,2021-12-17 00:00:00,2021-12-20 16:53:00,17.20000076,17.27,FNKO,-0.8645489337175771,-0.4610951008645639
